collocation,collocate_count,total_count,MI
once,1,97,12.089106016259144
lucy,1,96,12.074155674793174
uncle,1,95,12.059048782402966
my,14,1309,12.036087633959655
after,2,186,12.028351985180048
luke,1,93,12.028351985180048
get,1,89,11.964926605038414
fire,1,89,11.964926605038414
again,1,89,11.964926605038414
only,3,261,11.932136669920745
they,3,261,11.932136669920745
one,5,428,11.9087320655858
will,4,341,11.90282110309619
boy,1,85,11.898584110209718
better,1,84,11.881510596850777
we,2,167,11.872897466546068
made,2,165,11.855515388317833
dark,1,79,11.792973922249121
poor,2,158,11.792973922249121
against,1,78,11.774595392934266
until,1,78,11.774595392934266
window,1,78,11.774595392934266
you,23,1777,11.760859184043683
spoke,1,76,11.737120687515603
it,17,1291,11.736003618128867
t,5,377,11.72568579245332
person,1,75,11.718011864567897
find,1,75,11.718011864567897
than,3,224,11.711585595408463
baronet,1,74,11.698646539700967
out,5,368,11.690827035241666
secret,1,73,11.679017732952033
audley,13,948,11.677496704829185
so,6,429,11.649064510850407
do,5,356,11.642998510151054
alicia,3,212,11.632151127914058
when,5,350,11.618476191016983
asked,2,140,11.618476191016983
quiet,1,69,11.597717630850186
any,4,276,11.597717630850186
how,3,202,11.562442156102655
of,61,4102,11.560567612988983
no,8,536,11.55528236452979
should,3,200,11.548086863125585
low,1,66,11.53358729343047
for,18,1159,11.497933023636177
ask,1,64,11.489193174072016
chair,1,64,11.489193174072016
men,1,64,11.489193174072016
shall,3,187,11.451125133238497
george,6,371,11.439506049971664
not,11,680,11.439152491572422
day,3,184,11.427792629407874
did,3,184,11.427792629407874
know,4,244,11.419930511634904
turned,1,61,11.419930511634904
barrister,1,61,11.419930511634904
just,1,61,11.419930511634904
gone,1,61,11.419930511634904
from,11,669,11.41562395607618
into,6,362,11.404076560434065
daughter,1,60,11.396083769680535
girl,2,120,11.396083769680535
up,5,300,11.396083769680535
your,6,357,11.38401093737996
and,79,4664,11.37276449909541
re,1,59,11.371836223433858
till,1,59,11.371836223433858
words,1,59,11.371836223433858
wife,3,176,11.363662291988158
look,2,117,11.359557893655422
have,15,877,11.358735610908232
mrs,3,175,11.35544178518319
never,4,233,11.353379318726297
these,2,116,11.347174169199588
though,1,58,11.347174169199588
under,2,116,11.347174169199588
before,5,290,11.347174169199588
friend,3,173,11.338858900987585
world,1,57,11.322083188236759
five,1,57,11.322083188236759
water,1,57,11.322083188236759
i,49,2775,11.312755386081639
cruel,1,56,11.296548096129621
why,2,109,11.257377498848943
work,1,54,11.244080676235486
times,1,54,11.244080676235486
quite,1,54,11.244080676235486
ll,2,108,11.244080676235486
be,13,696,11.231696951779652
house,4,213,11.223902794297855
exclaimed,1,53,11.217113628635216
among,1,53,11.217113628635216
some,6,318,11.217113628635216
him,16,846,11.213707027191967
few,2,105,11.203438691738139
to,79,4128,11.19663968131817
hope,1,52,11.189632892213108
oh,1,52,11.189632892213108
across,1,52,11.189632892213108
me,16,826,11.179191145491462
mind,2,103,11.175693701255236
set,1,51,11.161618516043513
eyes,3,153,11.161618516043513
but,16,813,11.156304716147044
at,21,1064,11.152158186794447
sure,1,50,11.133049363846743
robert,16,799,11.131244866999994
by,16,797,11.127629088062488
life,4,198,11.118549794151626
in,51,2518,11.114830399819537
little,7,345,11.112290803679944
if,11,542,11.111910596788592
indeed,1,49,11.103903018187225
round,1,49,11.103903018187225
georgey,1,49,11.103903018187225
cried,2,97,11.089106016259144
there,8,387,11.085382930216428
seemed,2,96,11.074155674793174
fellow,1,48,11.074155674793174
sir,7,335,11.069855537359548
even,2,95,11.059048782402964
done,2,94,11.043782025749653
cousin,2,93,11.028351985180048
